scenario,test_id,build,control_tested,procedure_step,expected_result,observed_result,pass_fail,owasp_ref,likelihood_1to5,impact_1to5,risk_score,risk_band,evidence_file,tester,date
S1_WeakAuth,S1-01,legacy,weak password acceptance,register with 123456,accepted,,,A07,5,4,20,Critical,,,
S1_WeakAuth,S1-02,legacy,no lockout,20 failed logins,no lockout,,,A07,5,4,20,Critical,,,
S1_WeakAuth,S1-03,modern,password policy,register with 123456,rejected,,,A07,2,4,8,Medium,,,
S1_WeakAuth,S1-04,modern,lockout,5+ failed logins,account locked,,,A07,2,4,8,Medium,,,
S1_WeakAuth,S1-05,modern,MFA required,login w/ correct pw no OTP,access denied,,,A07,2,4,8,Medium,,,
S2_Phishing,S2-01,n/a,awareness,identify suspicious signs,>=4 of 6 spotted,,,A07,4,4,16,High,,,
S3_InputVal,S3-01,legacy,SQL error handling,submit single quote,verbose DB error,,,A03,3,5,15,High,,,
S3_InputVal,S3-02,legacy,auth bypass,inject ' OR '1'='1' --,login bypassed,,,A03,3,5,15,High,,,
S3_InputVal,S3-03,legacy,output encoding,reflect <b>test</b>,markup rendered,,,A03,3,5,15,High,,,
S3_InputVal,S3-04,modern,parameterized query,submit single quote,handled safely,,,A03,1,5,5,Low,,,
S4_AccessCtl,S4-01,legacy,forced browsing,normal_user opens /admin,page loads,,,A01,4,5,20,Critical,,,
S4_AccessCtl,S4-02,legacy,IDOR,client_beta opens broker_alpha doc,doc loads,,,A01,4,5,20,Critical,,,
S4_AccessCtl,S4-03,modern,server-side RBAC,normal_user opens /admin,403 Forbidden,,,A01,1,5,5,Low,,,
S4_AccessCtl,S4-04,modern,object authorization,client_beta opens broker_alpha doc,403 Forbidden,,,A01,1,5,5,Low,,,
S5_Session,S5-01,legacy,cookie flags,inspect sid cookie,no HttpOnly/Secure/SameSite,,,A05,3,5,15,High,,,
S5_Session,S5-02,legacy,logout invalidation,replay cookie after logout,still authenticated,,,A07,3,5,15,High,,,
S5_Session,S5-03,modern,cookie flags,inspect sid cookie,HttpOnly+SameSite set,,,A05,1,5,5,Low,,,
S5_Session,S5-04,modern,logout invalidation,replay cookie after logout,rejected,,,A07,1,5,5,Low,,,
S5_Session,S5-05,modern,idle timeout,idle past timeout,session expired,,,A07,1,5,5,Low,,,
S6_IAM,S6-01,modern,MFA step-up,login flow,OTP required,,,ZeroTrust,2,4,8,Medium,,,
S6_IAM,S6-02,modern,audit logging,perform events,events in audit.log,,,A09,2,3,6,Medium,,,
S7_Audit,S7-01,legacy,event coverage,perform events,only login_success logged,,,A09,4,3,12,High,,,
S7_Audit,S7-02,modern,event coverage,perform events,full lifecycle logged,,,A09,2,3,6,Medium,,,
